,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,KO - 1,KO - 2,KO - 3,KO - 4,WT - 1,WT - 2,WT - 3,WT - 4,Blank_0,Blank_1,Blank_2,Blank_3,Blank_4,Blank_5,Blank_6,ttest_pval,1/pvalue,KO_Mean,WT_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
0,1-Methylnicotinamide,C7H8N2O,+,ESI,15.3,17.3,10,0.2,137.0709,137.0712,1.5,SQ193_B_6,17.29,17.05,17.31,0.26,200685.0,167393.0,166307.0,159255.0,326879.0,368498.0,276895.0,273505.0,22973,23651,28059,28925,27353,33889,25840,0.0013165692693190953,759.5498568162548,173410.0,311444.25,-0.8447868405290315,0.5567930697066971,91724.28571428571,242427.125,331.0,8
1,"2,3-Diphosphoglyceric acid",C3H8O10P2,-,ESI,12.0,15.0,10,0.2,264.952,264.9496,-9.1,S02473,14.99,14.81,15.0,0.19,17292354.0,15824005.0,18671208.0,16737690.0,23256520.0,26347202.0,22122606.0,21826552.0,41546,46037,42602,770042,44720,946875,53431,0.0019284368151750938,518.5547133983772,17131314.25,23388220.0,-0.44914623331943243,0.7324761888677291,843679.8571428573,20259767.125,14343.0,8
2,3-Hydroxybutyric acid,C4H8O3,-,ESI,5.7,7.7,10,0.2,103.0401,103.0391,-9.6,S02487,7.15,6.91,7.39,0.48,1398941.0,1202948.0,1374889.0,1248721.0,1020383.0,1234170.0,958204.0,1037306.0,26914,21823,23483,65946,25342,58728,28927,0.018790267366373854,53.2190405012305,1306374.75,1062515.75,0.29808458451836334,1.2295109507788473,117641.28571428571,1184445.25,78.0,8
3,3-Phosphoglyceric acid,C3H7O7P,-,ESI,13.0,15.0,10,0.2,184.9857,184.9847,-5.3,S02468,14.19,14.05,14.23,0.18,31588928.0,27601538.0,32724840.0,28136322.0,40301868.0,44145316.0,35533780.0,35182192.0,1184885,1420555,1205288,1306278,1212287,1366148,1210601,0.012210551015453304,81.89638606271168,30012907.0,38790789.0,-0.370131057678092,0.7737122078130455,3826875.1428571427,34401848.0,3641.0,8
4,"4,5-Dihydroorotic acid",C5H6N2O4,-,ESI,7.5,9.5,10,0.2,157.0255,157.0249,-3.6,S02483,8.64,8.41,8.84,0.43,7999205.0,7600936.0,8225414.0,7293170.0,11912270.0,13028898.0,10768397.0,11009040.0,1139882,1177582,1123022,1260786,1136960,1334164,1123914,0.0004068284935293414,2458.038254215539,7779681.25,11679651.25,-0.5862142452620301,0.6660884887294901,3565561.428571429,9729666.25,35905.0,8
5,4-Hydroxyproline,C5H9NO3,+,ESI,10.2,11.2,10,0.2,132.0655,132.0665,7.6,S02483,10.83,10.65,10.87,0.22,228694.0,184160.0,283662.0,214789.0,257561.0,295309.0,219367.0,237333.0,10670,17215,14838,14228,15536,11587,13862,0.38846630622298717,2.5742258311226114,227826.25,252392.5,-0.14773505732187447,0.9026664817694662,51972.57142857143,240109.375,1.0,8
6,5'-Methylthioadenosine,C11H15N5O3S,+,ESI,3.0,5.0,10,0.2,298.0968,298.0963,-1.9,S02483,4.09,4.02,4.31,0.29,45120508.0,40407712.0,44439740.0,42574752.0,56661108.0,62277088.0,50024332.0,52928800.0,22770,25232,25402,3477374,136353,5123818,190915,0.004910504529221884,203.64506214160025,43135678.0,55472832.0,-0.3628997476199041,0.7776000691653889,3867941.714285714,49304255.0,12912.0,8
7,5-Phosphoribosylamine,C5H12NO7P,-,ESI,11.5,13.5,10,0.2,228.0279,228.0275,-1.7,S02487,11.74,11.74,11.74,0.0,15449697.0,13107102.0,15690215.0,13325410.0,23434106.0,24017248.0,20298282.0,20979498.0,69244,76212,73813,332990,75798,460744,83233,0.0004767477229870899,2097.54541402829,14393106.0,22182283.5,-0.6240299317668974,0.6488559214383858,512300.28571428574,18287694.75,59118.0,8
8,6-Phosphogluconic acid,C6H13O10P,-,ESI,14.0,17.0,10,0.2,275.0174,275.0178,1.7,S02476,15.23,15.23,15.23,0.0,15315294.0,14576968.0,17036736.0,13878366.0,23638650.0,25177664.0,20899678.0,20479460.0,50891,60554,57192,290946,70073,458538,65066,0.0013752073591679552,727.163066233904,15201841.0,22548863.0,-0.5688086390741995,0.6741732831495761,461397.14285714284,18875352.0,20359.0,8
9,Acetoacetic acid,C4H6O3,-,ESI,8.3,10.3,10,0.2,101.0244,101.0235,-9.6,S02484,9.97,9.78,10.22,0.44,10957.0,19891.0,22612.0,20303.0,64621.0,38573.0,57672.0,25801.0,0,0,0,0,0,0,0,0.02232367321464595,44.79549536426324,18440.75,46666.75,-1.3394976650576598,0.39515822293174474,10000.0,32553.75,4.0,8
10,Acetyl-CoA,C23H38N7O17P3S,+,ESI,8.0,11.0,10,0.2,810.1331,810.1342,1.4,S02481,10.84,10.84,10.84,0.0,10000.0,10000.0,26324.0,10654.0,26435.0,14908.0,32534.0,31393.0,0,0,0,0,0,0,0,0.07836096066676987,12.761456616803128,14244.5,26317.5,-0.8856174663347756,0.5412558183718058,10000.0,20281.0,0.0,6
11,Acetylcysteine,C5H9NO3S,+,ESI,6.0,8.0,10,0.2,164.0376,164.0377,0.6,S02470,7.18,7.0,7.22,0.22,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
12,Adenine,C5H5N5,+,ESI,5.0,7.0,10,0.2,136.0618,136.0616,-1.0,S02482,6.19,5.95,6.31,0.36,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
