,Metabolite,Formula,Polarity (z),Ion Mode,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,OLFR2 A,OLFR2 B,OLFR2 C,GPI1 A,GPI1 B,GPI1 C,GPI1 D,SQ147_B_0,SQ147_B_1,SQ147_B_2,SQ147_B_3,SQ147_B_4,SQ147_B_7,SQ147_B_8,ttest_pval,1/pvalue,OLFR2_Mean,GPI1_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection,OLFR2,GPI1
0,Beta-Alanine,C3H7NO2,+,ESI,9.8,10.5,10.0,0.2,90.055,90.0556,7.5,S01820,10.05,9.86,10.16,0.3,153538.0,163068.0,153538.0,153538.0,153538.0,153538.0,153538.0,66683,85450,46115,35186,33268,37006,31214,0.28559094064520224,3.5015116296785074,156714.66666666666,153538.0,0.029544444917403972,1.0206897749525632,153538.0,155126.3333333333,1.0,1,-0.2862783269314392,0.4231604797984983
1,L-Alanine,C3H7NO2,+,ESI,10.6,11.2,10.0,0.2,90.055,90.0556,7.4,S01829,10.76,10.72,10.8,0.08,11380853.0,14259663.0,6092078.0,8198464.0,3904808.0,4252504.0,8287900.0,4384846,1734167,141819,267403,88236,310191,50233,0.13213027657949414,7.568288100860558,10577531.333333334,6160919.0,0.7797854861128888,1.7168755721887163,3000097.8571428573,8369225.166666667,109.0,7,-0.6383359475432765,0.03301395519095385
2,Sarcosine,C3H7NO2,+,ESI,11.2,12.0,10.0,0.2,90.055,90.0556,7.1,S01829,11.29,11.26,11.36,0.1,4690592.0,5472800.0,2454159.0,3209797.0,1463774.0,1736468.0,3455282.0,253553,154420,37773,97230,34751,103097,33094,0.1312240412775325,7.620554818038626,4205850.333333333,2466330.25,0.7700315177281639,1.7053070379902826,315964.85714285716,3336090.2916666665,43.0,7,-0.7137792356309033,0.12881639016933188
3,Betaine,C5H11NO2,+,ESI,7.0,8.2,10.0,0.2,118.0863,118.0866,2.9,SQ147_B_1,7.48,7.46,7.55,0.09,44411193.57142857,44411193.57142857,44411193.57142857,44411193.57142857,44411193.57142857,44411193.57142857,44411193.57142857,27764226,58951336,3503176,3719389,6175706,2730229,758723,NA,NA,44411193.57142857,44411193.57142857,0.0,1.0,44411193.57142857,44411193.57142857,NA,0,-0.7331263400207058,0.2345758684238292
4,L-Valine,C5H11NO2,+,ESI,8.3,9.2,10.0,0.2,118.0863,118.0866,3.0,S01829,8.62,8.48,8.65,0.17,9549667.0,10455290.0,6332439.0,5301269.0,3541244.0,4039847.0,9253654.0,2289155,2268273,411153,364812,371730,330584,238907,0.14057058387190424,7.113863885713499,8779132.0,5534003.5,0.6657547499809091,1.5863979847501,2699120.2857142854,7156567.75,81.0,7,-0.7424116282409937,0.6163479555562918
5,N-Acetyl-L-alanine,C5H9NO3,+,ESI,6.0,7.0,10.0,0.2,132.0655,132.0656,0.9,S01821,6.62,6.37,6.81,0.45,185777.7142857143,226060.0,283548.0,185777.7142857143,185777.7142857143,185777.7142857143,251355.0,162629,122729,34264,24776,24147,22355,19248,0.3782368015326931,2.6438463839261406,231795.2380952381,202172.0357142857,0.19726746998832642,1.146524727202216,185777.7142857143,216983.6369047619,1.0,3,0.9985107221774981,0.7373393436476472
6,4-Hydroxyproline,C5H9NO3,+,ESI,10.2,11.2,10.0,0.2,132.0655,132.0666,8.2,S01829,10.64,10.45,10.66,0.21,2644500.0,3435986.0,1366015.0,1691739.0,660519.0,931776.0,1883223.0,212271,166517,35385,34228,30988,42500,17646,0.1097642383852253,9.110435372315251,2482167.0,1291814.25,0.9422015433498578,1.921458135331763,241229.28571428568,1886990.625,33.0,7,-0.6120141018082236,0.18562456469394517
7,L-Isoleucine,C6H13NO2,+,ESI,6.0,7.5,10.0,0.2,132.1019,132.1021,1.3,S01829,7.1,7.04,7.15,0.1,9296117.0,9983098.0,5670106.0,4364252.285714285,4364252.285714285,4364252.285714285,7694833.0,5616961,3469154,456899,174377,152826,176439,113266,0.09067350255753986,11.02858025546567,8316440.333333333,5196897.464285715,0.6783155524168986,1.6002702363257773,4364252.285714285,6756668.898809524,119.0,4,-0.782347784405895,0.6994717391758289
8,L-Leucine,C6H13NO2,+,ESI,7.5,9.0,10.0,0.2,132.1019,132.102,0.6,S01829,7.52,7.47,7.64,0.17,9847190.0,10301719.0,6472852.0,5560937.0,3492390.0,4382959.0,8216306.0,1976541,1697945,191454,135732,143177,143588,86767,0.0799744619517584,12.503991594256833,8873920.333333334,5413148.0,0.7131037681688408,1.6393271222832506,1885087.4285714286,7143534.166666667,146.0,7,-0.8065753422031392,0.5572521185895157
9,Dihydroxyacetone phosphate,C3H7O6P,-,ESI,12.0,13.0,10.0,0.2,168.9907,168.99,-4.5,S01826,12.32,12.29,12.5,0.21,63371.0,125930.0,17173.0,26091.0,14755.0,12063.142857142857,17905.0,2957,0,0,0,1857,0,0,0.11277035339127935,8.867578844328877,68824.66666666667,17703.535714285714,1.9588881963259666,3.8876226634846285,12063.142857142857,43264.10119047619,1.0,6,-0.423188649546526,-0.5110783850364476
